"Year","Month","Symbol","Volume","MonthlyReturns"
"2016","06","UVV",152045.454545455,0.0555758843350331
"2016","07","UVV",159890,0.0271908494836384
"2016","08","UVV",158430.434782609,0.0145000299400022
"2016","09","UVV",166557.142857143,-0.0324081270996052
"2016","10","UVV",127190.476190476,-0.0690484433781522
"2016","11","UVV",179871.428571429,0.0156826284530664
"2016","12","UVV",241980.952380952,0.158038163188247
"2017","01","UVV",450790,0.0666666666666667
"2017","02","UVV",564352.631578947,-0.00441180958467369
"2017","03","UVV",268078.260869565,0.0450517457790964
"2017","04","UVV",205431.578947368,0.0381625010352253
"2017","05","UVV",210709.090909091,-0.0959836040201769
"2017","06","UVV",160063.636363636,-0.0256024779905186
"2017","07","UVV",171285,-0.0115919044927113
"2017","08","UVV",197565.217391304,-0.105551210625032
"2017","09","UVV",122960,0.00174822504872907
"2017","10","UVV",219872.727272727,0.000872587045833928
"2017","11","UVV",254442.857142857,-0.0697471683770834
"2017","12","UVV",204140,-0.0159324929415585
"2018","01","UVV",215300,-0.0857142857142857
"2018","02","UVV",300284.210526316,0.0239583651224773
"2018","03","UVV",251714.285714286,-0.0132248526083293
"2018","04","UVV",170042.857142857,-0.0298969229472053
"2018","05","UVV",290513.636363636,0.405951171063433
"2018","06","UVV",257547.619047619,-0.00151169269560747
"2018","07","UVV",177857.142857143,0.0461770670922339
"2018","08","UVV",208056.52173913,-0.13458754620007
"2018","09","UVV",152594.736842105,0.0869565356067228
"2018","10","UVV",134921.739130435,0.0440000093900241
"2018","11","UVV",175219.047619048,-0.0657235343996198
"2018","12","UVV",198363.157894737,-0.145899050116336
"2019","01","UVV",216019.047619048,0.0655586174889389
"2019","02","UVV",150210.526315789,0.0284228659959014
"2019","03","UVV",126304.761904762,-0.0288169713528065
"2019","04","UVV",165761.904761905,-0.0654173241001289
"2019","05","UVV",188386.363636364,0.0493872970157536
"2019","06","UVV",182600,0.0751946207639531
"2019","07","UVV",123131.818181818,-0.0208984770149269
"2019","08","UVV",150654.545454545,-0.158655439104353
"2019","09","UVV",143285,0.0948861340330349
"2019","10","UVV",98626.0869565217,-0.000182487428933786
"2019","11","UVV",172055,-0.0470802564284089
"2019","12","UVV",140100,0.0926847958530692
"2015","01","VLGEA",16050,0.0846125161492666
"2015","02","VLGEA",12447.3684210526,-0.0462547526526927
"2015","03","VLGEA",28340.9090909091,0.137893647810929
"2015","04","VLGEA",51100,0.0155852341855838
"2015","05","VLGEA",21960,0.00281867058339191
"2015","06","VLGEA",34772.7272727273,-0.0103060561832703
"2015","07","VLGEA",25286.3636363636,-0.0949826499891331
"2015","08","VLGEA",21590.4761904762,-0.0310320564915693
"2015","09","VLGEA",27180.9523809524,-0.150413823946305
"2015","10","VLGEA",26840.9090909091,0.0614146047482558
"2015","11","VLGEA",22780,0.0335195598758686
"2015","12","VLGEA",25322.7272727273,0.0173745470875413
"2016","01","VLGEA",30500,-0.00341556551366051
"2016","02","VLGEA",30500,0.0095201827045317
"2016","03","VLGEA",40059.0909090909,-0.0886458076642894
"2016","04","VLGEA",27776.1904761905,0.00993376542359004
